,id,Total
0,8628303,16869.0
1,7223607,20563.0
2,3203692,16619.0
3,807086,6486.0
4,8521614,7100.0
5,8100868,4589.0
6,8524180,14642.0
7,8659840,2774.0
8,7279758,7618.0
9,8552598,10082.0
10,7023198,1134.0
11,8667985,3308.0
12,5712151,3424.0
13,8661474,1639.0
14,7276503,9370.0
15,8133846,7979.0
16,8532234,6325.0
17,6905076,4057.0
18,8636089,2594.0
19,416607,3307.0
20,1939188,2795.0
21,8551068,3863.0
22,6955041,4567.0
23,4107625,4786.0
24,8510155,5941.0
25,8556713,6131.0
26,4303500,5301.0
27,8524182,7178.0
28,1172159,4275.0
29,2998614,5751.0
30,8612428,5368.0
31,5796137,2599.0
32,1212622,3631.0
33,360981,3794.0
34,818298,3276.0
35,6979123,3308.0
36,8644707,1736.0
37,8526490,4062.0
38,5967164,3379.0
39,8615817,3450.0
40,8501570,3830.0
41,1009121,2901.0
42,2958617,2655.0
43,8080067,3964.0
44,1176482,5547.0
45,4193605,5109.0
46,6716001,2993.0
47,3192301,4426.0
48,5943920,3086.0
49,5964325,2290.0
50,3079766,850.0
51,8573179,4608.0
52,8603224,2583.0
53,1908418,3322.0
54,8524084,2139.0
55,8512065,3608.0
56,8619726,2110.0
57,8507141,6012.0
58,1015542,1830.0
59,1975728,3144.0
60,1993190,3108.0
61,3059757,6514.0
62,5816963,2450.0
63,2966203,1703.0
64,420579,2884.0
65,8205211,5937.0
66,4284796,1489.0
67,830553,2612.0
68,8692308,1003.0
69,8706167,689.0
70,8560131,3073.0
71,8508663,2025.0
72,8586582,1836.0
73,3196989,4816.0
74,8598714,1929.0
75,1065817,1244.0
76,7137803,2327.0
77,8679303,931.0
78,217315,3525.0
79,8587517,1735.0
80,8716020,801.0
81,8107593,1267.0
82,8632072,1811.0
83,5855951,3095.0
84,8564447,3501.0
85,7145504,2752.0
86,1009126,3164.0
87,8624552,1499.0
88,470411,3070.0
89,8560754,919.0
90,5779895,2577.0
91,1061692,2677.0
92,418861,1609.0
93,8673839,2586.0
94,8631494,2335.0
95,7098141,4683.0
96,1066454,1718.0
97,8516186,2789.0
98,8646471,1556.0
99,3237639,2481.0
100,2117005,1411.0
101,8693914,633.0
102,7105261,2803.0
103,8681996,870.0
104,8626904,2409.0
105,8732135,379.0
106,8682208,868.0
107,505541,2926.0
108,8501702,893.0
109,5721566,4009.0
110,4238935,2830.0
111,7018910,2238.0
112,8628455,1595.0
113,8618135,1809.0
114,4132125,2865.0
115,8529499,1885.0
116,941691,1792.0
117,8743886,354.0
118,6902109,2257.0
119,2103501,2971.0
120,8684438,797.0
121,8730231,351.0
122,4192904,1278.0
123,4194016,2148.0
124,8708438,780.0
125,671562,1661.0
126,8648510,1362.0
127,7154202,4555.0
128,7172755,1719.0
129,8717212,727.0
130,8578080,690.0
131,790890,2139.0
132,695518,1658.0
133,1063707,1351.0
134,3175163,1663.0
135,7027122,2112.0
136,4251666,3449.0
137,8659292,854.0
138,8550786,2196.0
139,8570975,1097.0
140,8663494,1246.0
141,8687840,318.0
142,8687113,318.0
143,1151970,1407.0
144,3218730,981.0
145,8525586,912.0
146,8601480,2147.0
147,8675460,835.0
148,8535381,1940.0
149,870969,1675.0
150,8542410,1268.0
151,6957325,936.0
152,3197217,1137.0
153,2082929,2597.0
154,6849059,1345.0
155,8623487,1538.0
156,8735779,292.0
157,8694784,504.0
158,3038817,806.0
159,5724778,1706.0
160,982434,2388.0
161,8566661,1586.0
162,5837305,2178.0
163,3048791,1315.0
164,2890724,2045.0
165,8559058,2401.0
166,7225334,1555.0
167,5948636,1002.0
168,8719514,1539.0
169,7091323,1807.0
170,8614437,1592.0
171,8624492,739.0
172,8680813,729.0
173,7061120,269.0
174,3194369,2533.0
175,8174446,1573.0
176,8671559,1745.0
177,2116980,1187.0
178,8622562,559.0
179,8569392,1744.0
180,6942436,748.0
181,8558334,1120.0
182,8598704,1120.0
183,1085352,1247.0
184,2034883,1517.0
185,2001824,1302.0
186,3206612,1921.0
187,376535,1010.0
188,2960547,1517.0
189,1079635,261.0
190,8504204,1640.0
191,8602592,1222.0
192,8679673,507.0
193,8514008,621.0
194,6901558,1283.0
195,8598702,1473.0
196,2063037,3260.0
197,2014098,1569.0
198,8573483,850.0
199,4104185,2769.0
200,8560554,626.0
201,8565787,1450.0
202,8606038,682.0
203,3205745,2126.0
204,8701223,248.0
205,946907,1541.0
206,8735755,248.0
207,5814873,1753.0
208,4194326,1283.0
209,8510245,1799.0
210,8717671,434.0
211,5704165,1367.0
212,8531917,1357.0
213,8739713,244.0
214,8087991,2117.0
215,8578535,558.0
216,7026155,936.0
217,4175616,1795.0
218,8504704,1246.0
219,8641715,1778.0
220,952482,1346.0
221,8686738,778.0
222,8523624,661.0
223,8603211,1141.0
224,2029795,1951.0
225,8526799,1655.0
226,8640479,1069.0
227,8736740,238.0
228,5937340,1747.0
229,5644751,1909.0
230,8628838,768.0
231,5661625,1023.0
232,1100542,1386.0
233,4360251,1737.0
234,8525628,982.0
235,920637,1337.0
236,8642650,790.0
237,8723052,233.0
238,897740,3055.0
239,8731816,232.0
240,7099502,1117.0
241,8717674,565.0
242,3124461,803.0
243,8628385,1126.0
244,208110,2119.0
245,1897685,2606.0
246,7034151,2170.0
247,8578324,1495.0
248,4253194,1337.0
249,5816956,1292.0
250,7099984,412.0
251,471572,1066.0
252,5991963,1046.0
253,8541057,1030.0
254,8552013,1068.0
255,8589931,3696.0
256,1095343,1159.0
257,8636987,464.0
258,8620283,1731.0
259,8533123,553.0
260,7095869,1389.0
261,6829875,550.0
262,1092003,1829.0
263,5721724,1820.0
264,8710346,217.0
265,7243855,1001.0
266,433416,977.0
267,8537790,1797.0
268,8725836,216.0
269,2092391,877.0
270,2061781,1548.0
271,471188,3514.0
272,1043318,2533.0
273,682772,1268.0
274,8065871,6457.0
275,4330039,542.0
276,8746938,213.0
277,8600664,368.0
278,8512398,1506.0
279,6914932,1036.0
280,8055005,1314.0
281,8561370,1112.0
282,512499,999.0
283,8635065,210.0
284,8549126,873.0
285,8650042,615.0
286,8121839,1278.0
287,8681664,575.0
288,4093845,1139.0
289,2098246,1195.0
290,5746043,1074.0
291,4353650,802.0
292,5841198,1165.0
293,8559497,1849.0
294,4304958,1086.0
295,1992501,2534.0
296,8550580,1182.0
297,8640740,1356.0
298,8577141,1934.0
299,6849254,1046.0
300,8598708,815.0
301,8116621,391.0
302,4216983,799.0
303,8660743,1103.0
304,6998378,959.0
305,8533476,1283.0
306,8564445,1329.0
307,2959485,1177.0
308,8655727,871.0
309,8630421,860.0
310,8519028,1039.0
311,8623247,548.0
312,4122865,1477.0
313,2038137,970.0
314,4301917,1338.0
315,8501213,852.0
316,8679534,486.0
317,8578007,1421.0
318,8741897,196.0
319,8524077,570.0
320,8510816,824.0
321,8612068,1032.0
322,8551478,715.0
323,2101469,195.0
324,8557565,716.0
325,8068704,910.0
326,8649536,545.0
327,5844838,1003.0
328,8584928,953.0
329,878150,519.0
330,2004062,192.0
331,8598700,759.0
332,4083816,2679.0
333,8582433,1594.0
334,6939365,1222.0
335,8600661,800.0
336,6843900,2457.0
337,1889137,772.0
338,8533595,190.0
339,7280734,397.0
340,2967006,1329.0
341,4082266,888.0
342,8632062,922.0
343,5774089,976.0
344,3076864,563.0
345,8055995,1152.0
346,8751756,189.0
347,8597991,707.0
348,5710389,1602.0
349,8733172,188.0
350,8640793,462.0
351,8748086,188.0
352,8533897,1207.0
353,8674182,188.0
354,8683794,740.0
355,8544760,1982.0
356,8649047,438.0
357,2987544,543.0
358,8566779,186.0
359,888156,1461.0
360,8682302,502.0
361,431061,1328.0
362,7189716,2488.0
363,8163462,805.0
364,8714425,332.0
365,8587975,969.0
366,8521155,1115.0
367,823318,910.0
368,8659230,1007.0
369,8542009,563.0
370,8653539,667.0
371,8560297,843.0
372,8664765,1577.0
373,5798839,566.0
374,8703702,418.0
375,367730,817.0
376,8723317,181.0
377,7277732,1113.0
378,4135124,1024.0
379,4107770,1112.0
380,8751754,180.0
381,8653558,948.0
382,6966130,732.0
383,8664371,616.0
384,6971500,550.0
385,5740875,179.0
386,8518032,730.0
387,662691,1433.0
388,1075442,2267.0
389,8545938,404.0
390,8619007,661.0
391,8712805,177.0
392,4141354,1186.0
393,8151183,1550.0
394,8725731,176.0
395,1168479,176.0
396,8624758,628.0
397,540235,1535.0
398,414437,1153.0
399,5951321,1411.0
400,1923912,1636.0
401,4267482,894.0
402,1863372,1332.0
403,5914195,834.0
404,8704637,376.0
405,1968281,999.0
406,8500835,811.0
407,1255265,1608.0
408,8721955,173.0
409,8559109,920.0
410,8577811,1129.0
411,8649539,423.0
412,8513387,870.0
413,8678273,623.0
414,3163321,172.0
415,977714,2560.0
416,3182193,647.0
417,8661989,434.0
418,2123460,468.0
419,8748234,170.0
420,8645400,1383.0
421,2005181,960.0
422,905376,1086.0
423,5867914,865.0
424,8720845,169.0
425,5996415,833.0
426,8659613,429.0
427,4164975,343.0
428,629210,1089.0
429,1221648,1179.0
430,8569411,1177.0
431,6965135,343.0
432,1094211,790.0
433,471772,1112.0
434,8723558,168.0
435,396804,764.0
436,600517,808.0
437,8557331,936.0
438,7277717,939.0
439,8745491,167.0
440,5841181,836.0
441,8133772,1508.0
442,8501661,670.0
443,8079632,358.0
444,4373014,877.0
445,8558341,872.0
446,8521133,658.0
447,4339915,1403.0
448,445253,799.0
449,8726952,165.0
450,8677065,482.0
451,8728637,164.0
452,7037428,950.0
453,598042,750.0
454,8585310,338.0
455,8518615,831.0
456,1088202,864.0
457,4099670,757.0
458,5808361,964.0
459,8540806,546.0
460,8530930,1089.0
461,8523897,1216.0
462,4407057,834.0
463,8655926,734.0
464,8537529,1286.0
465,1929995,1098.0
466,8560759,370.0
467,8617796,435.0
468,8613173,335.0
469,4296922,481.0
470,8638312,608.0
471,8541211,161.0
472,6933709,835.0
473,8570960,908.0
474,2964153,1356.0
475,8514957,855.0
476,215809,463.0
477,8657378,439.0
478,3108575,357.0
479,8709063,159.0
480,4190802,856.0
481,5717929,721.0
482,5814173,858.0
483,4385997,775.0
484,8575796,1968.0
485,8552979,1030.0
486,8621651,770.0
487,373781,718.0
488,8533464,1080.0
489,8568955,766.0
490,8675351,404.0
491,8588274,791.0
492,8703113,475.0
493,8742450,156.0
494,8541339,367.0
495,1992050,874.0
496,8625293,156.0
497,521721,878.0
498,699205,934.0
499,4123380,436.0
500,4362171,435.0
501,8058013,728.0
502,2987675,1021.0
503,1988603,2465.0
504,2911831,876.0
505,7034745,706.0
506,3147906,882.0
507,8709340,347.0
508,213437,700.0
509,8676558,613.0
510,8558556,811.0
511,8659833,796.0
512,8720917,154.0
513,8200310,634.0
514,8623953,468.0
515,8703671,385.0
516,444938,1181.0
517,8721358,321.0
518,8564534,152.0
519,8555356,1293.0
520,468823,1114.0
521,8644703,662.0
522,4414686,1042.0
523,4249081,1373.0
524,8547718,873.0
525,8552760,647.0
526,8598805,298.0
527,4110771,1203.0
528,8703757,151.0
529,8683652,150.0
530,8549309,489.0
531,8552784,780.0
532,7236777,788.0
533,446365,757.0
534,8654996,935.0
535,7202818,758.0
536,1219086,866.0
537,8680500,149.0
538,8605114,1036.0
539,8522651,1043.0
540,1253668,775.0
541,8716730,149.0
542,8698515,335.0
543,8132130,1368.0
544,8700886,340.0
545,4264893,1194.0
546,1142969,698.0
547,470712,1097.0
548,3108480,628.0
549,1252376,370.0
550,8571774,147.0
551,469971,1355.0
552,8519378,965.0
553,8521216,1123.0
554,471725,684.0
555,8520932,699.0
556,5871684,704.0
557,4209930,671.0
558,8673556,565.0
559,2962996,305.0
560,8719519,307.0
561,8602849,1077.0
562,8729541,146.0
563,8695677,146.0
564,1204571,987.0
565,7089631,727.0
566,8542106,1139.0
567,8683659,454.0
568,921576,1853.0
569,8504114,1404.0
570,8081692,421.0
571,8533462,1325.0
572,8746025,145.0
573,1151870,811.0
574,4146213,801.0
575,2958738,679.0
576,1886949,787.0
577,8599726,144.0
578,8649072,696.0
579,8648229,989.0
580,4269550,1037.0
581,8721973,142.0
582,8663968,742.0
583,8647764,683.0
584,4109742,977.0
585,483960,890.0
586,8678997,141.0
587,599114,669.0
588,1197116,773.0
589,8069432,1083.0
590,5683273,1360.0
591,2138405,825.0
592,8661757,327.0
593,8660838,2079.0
594,4382251,935.0
595,7029246,654.0
596,8682132,569.0
597,4170559,291.0
598,351614,140.0
599,8058200,604.0
600,8562176,647.0
601,8667624,392.0
602,8585223,1453.0
603,3232121,905.0
604,2950819,669.0
605,4264294,669.0
606,8734263,138.0
607,1179797,558.0
608,445263,1435.0
609,1001960,282.0
610,8680520,338.0
611,8562368,643.0
612,315110,680.0
613,3055470,317.0
614,8687336,395.0
615,8721953,137.0
616,1151825,1009.0
617,8617092,530.0
618,351612,454.0
619,8634615,295.0
620,8561036,675.0
621,4318170,798.0
622,8527385,136.0
623,3163311,867.0
624,920686,604.0
625,8744063,136.0
626,1969249,589.0
627,428002,451.0
628,211502,680.0
629,8699622,335.0
630,8677224,455.0
631,8572862,1196.0
632,516328,292.0
633,8707667,343.0
634,468151,717.0
635,8535349,376.0
636,8737506,134.0
637,8553074,763.0
638,3059967,647.0
639,8693573,428.0
640,3236669,386.0
641,8680823,342.0
642,4337036,439.0
643,1270312,730.0
644,2753544,720.0
645,5785724,814.0
646,6928114,630.0
647,4099229,1211.0
648,521984,918.0
649,2039276,1479.0
650,7036378,980.0
651,4118024,132.0
652,4115773,685.0
653,8532627,957.0
654,704732,620.0
655,8695669,131.0
656,8530162,299.0
657,8572129,943.0
658,8552303,1139.0
659,8525046,575.0
660,1170012,772.0
661,8540693,450.0
662,8532858,913.0
663,468134,357.0
664,5753186,1625.0
665,7185920,284.0
666,8518475,567.0
667,8545715,287.0
668,5741695,866.0
669,8550815,130.0
670,4407713,938.0
671,8732876,130.0
672,4333677,709.0
673,8686544,371.0
674,8053931,618.0
675,605727,642.0
676,467707,621.0
677,5675010,634.0
678,414447,454.0
679,1184074,666.0
680,626995,697.0
681,609590,640.0
682,7245521,627.0
683,4329207,128.0
684,1065516,488.0
685,7189684,439.0
686,8714061,128.0
687,8520082,813.0
688,8719860,378.0
689,8712328,127.0
690,4336994,127.0
691,922150,930.0
692,8581591,299.0
693,8564933,407.0
694,8617701,127.0
695,8501596,465.0
696,8737331,127.0
697,8609045,573.0
698,8541080,603.0
699,8694786,333.0
700,1009134,572.0
701,8523004,968.0
702,8584720,517.0
703,5931264,890.0
704,8543927,812.0
705,8520611,496.0
706,8524104,125.0
707,8518275,1764.0
708,8585858,550.0
709,8585920,976.0
710,1970962,740.0
711,8637782,390.0
712,3131898,1191.0
713,7261175,295.0
714,8706124,125.0
715,215431,125.0
716,3260726,364.0
717,8618728,1083.0
718,8589545,124.0
719,8697460,124.0
720,8576139,510.0
721,5797247,717.0
722,4661917,1311.0
723,4262085,661.0
724,8569862,785.0
725,4193645,803.0
726,3166412,636.0
727,5652143,1895.0
728,8522719,332.0
729,8556464,591.0
730,8545421,1084.0
